id,firstname,surname,born,bornYear,bornMonth,bornDay,died,diedYear,diedMonth,diedDay,ageDied,ageCurrent,ageCurrentBin,age,ageBin,bornCountry,bornCountryCode,bornCountryClean,bornCountryBin,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,timesPrizeWon,timesPrizeWonOther,overallMotivation,share,prizeShare,motivation,workPublishYear,yearsSincePublishedBin,name,city,country,countryClean,URLpage,URLpicture
11,Albert A.,Michelson,1852-12-19,1852,Dec,19,9/5/1931,1931,May,9,79,,Deceased,55,51-60,Prussia (now Poland),PL,Poland,Poland,Strelno (now Strzelno),USA,US,Pasadena CA,male,1907,physics,1,,,1,1/1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1887,11-20,University of Chicago,Chicago IL,USA,USA,https://www.nobelprize.org/prizes/physics/1907/Michelson,https://www.nobelprize.org/images/michelson-12859-portrait-mini-2x.jpg
12,Gabriel,Lippmann,1845-08-16,1845,Aug,16,13/7/1921,1921,Jul,13,76,,Deceased,63,61-70,Luxembourg,LU,Luxembourg,Other (<20 Laureates),Hollerich,,,,male,1908,physics,1,,,1,1/1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",,Unknown,Sorbonne University,Paris,France,France,https://www.nobelprize.org/prizes/physics/1908/Lippmann,https://www.nobelprize.org/images/lippmann-12866-portrait-mini-2x.jpg
13,Guglielmo,Marconi,1874-04-25,1874,Apr,25,20/7/1937,1937,Jul,20,63,,Deceased,35,<=40,Italy,IT,Italy,Other (<20 Laureates),Bologna,Italy,IT,Rome,male,1909,physics,1,,,2,1/2,"""in recognition of their contributions to the development of wireless telegraphy""",,Unknown,Marconi Wireless Telegraph Co. Ltd.,London,UK,UK,https://www.nobelprize.org/prizes/physics/1909/Marconi,https://www.nobelprize.org/images/marconi-12873-portrait-mini-2x.jpg
14,Ferdinand,Braun,1850-06-06,1850,Jun,6,20/4/1918,1918,Apr,20,68,,Deceased,59,51-60,Hesse-Kassel (now Germany),DE,Germany,Germany,Fulda,USA,US,Brooklyn NY,male,1909,physics,1,,,2,1/2,"""in recognition of their contributions to the development of wireless telegraphy""",,Unknown,Strasbourg University,Strasbourg,Germany (now France),France,https://www.nobelprize.org/prizes/physics/1909/Braun,https://www.nobelprize.org/images/braun-12872-portrait-mini-2x.jpg
15,Johannes Diderik,van der Waals,1837-11-23,1837,Nov,23,8/3/1923,1923,Mar,8,86,,Deceased,73,71-80,the Netherlands,NL,Netherlands,Other (<20 Laureates),Leiden,the Netherlands,NL,Amsterdam,male,1910,physics,1,,,1,1/1,"""for his work on the equation of state for gases and liquids""",,Unknown,Amsterdam University,Amsterdam,the Netherlands,the Netherlands,https://www.nobelprize.org/prizes/physics/1910/Waals/facts/,https://www.nobelprize.org/images/waals-12878-portrait-mini-2x.jpg
16,Wilhelm,Wien,1864-01-13,1864,Jan,13,30/8/1928,1928,Aug,30,64,,Deceased,47,41-50,Prussia (now Russia),RU,Russia,Russia,Gaffken (now Parusnoye),Germany,DE,Munich,male,1911,physics,1,,,1,1/1,"""for his discoveries regarding the laws governing the radiation of heat""",1893,11-20,Würzburg University,Würzburg,Germany,Germany,https://www.nobelprize.org/prizes/physics/1911/Wien,https://www.nobelprize.org/images/wien-12884-portrait-mini-2x.jpg
17,Gustaf,Dalén,1869-11-30,1869,Nov,30,9/12/1937,1937,Dec,9,68,,Deceased,43,41-50,Sweden,SE,Sweden,Sweden,Stenstorp,Sweden,SE,Stockholm,male,1912,physics,1,,,1,1/1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",,Unknown,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,Sweden,https://www.nobelprize.org/prizes/physics/1912/Dalen,https://www.nobelprize.org/images/dalen-12890-portrait-mini-2x.jpg
18,Heike,Kamerlingh Onnes,1853-09-21,1853,Sep,21,21/2/1926,1926,Feb,21,73,,Deceased,60,51-60,the Netherlands,NL,Netherlands,Other (<20 Laureates),Groningen,the Netherlands,NL,Leiden,male,1913,physics,1,,,1,1/1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",1911,<=10,Leiden University,Leiden,the Netherlands,the Netherlands,https://www.nobelprize.org/prizes/physics/1913/Onnes,https://www.nobelprize.org/images/onnes-12895-portrait-mini-2x.jpg
19,Max,von Laue,1879-10-09,1879,Oct,9,23/4/1960,1960,Apr,23,81,,Deceased,35,<=40,Germany,DE,Germany,Germany,Pfaffendorf,West Germany (now Germany),DE,Berlin,male,1914,physics,1,,,1,1/1,"""for his discovery of the diffraction of X-rays by crystals""",1913,<=10,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,Germany,https://www.nobelprize.org/prizes/physics/1914/Laue,https://www.nobelprize.org/images/laue-12898-portrait-mini-2x.jpg
20,William,Bragg,1862-07-02,1862,Jul,2,12/3/1942,1942,Mar,12,80,,Deceased,53,51-60,UK,GB,UK,UK,Wigton,UK,GB,London,male,1915,physics,1,,,2,1/2,"""for their services in the analysis of crystal structure by means of X-rays""",1913,<=10,University College,London,UK,UK,https://www.nobelprize.org/prizes/physics/1915/wh-bragg/facts/,https://www.nobelprize.org/images/wh-bragg-12901-portrait-mini-2x.jpg
21,Lawrence,Bragg,1890-03-31,1890,Mar,31,1/7/1971,1971,Jul,1,81,,Deceased,25,<=40,Australia,AU,Australia,Other (<20 Laureates),Adelaide,UK,GB,Ipswich,male,1915,physics,1,,,2,1/2,"""for their services in the analysis of crystal structure by means of X-rays""",1913,<=10,Victoria University,Manchester,UK,UK,https://www.nobelprize.org/prizes/physics/1915/wl-bragg/facts/,https://www.nobelprize.org/images/wl-bragg-13858-portrait-mini-2x.jpg
22,Charles Glover,Barkla,1877-06-07,1877,Jun,7,23/10/1944,1944,Oct,23,67,,Deceased,40,<=40,UK,GB,UK,UK,Widnes,Scotland,GB,Edinburgh,male,1917,physics,1,,,1,1/1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1906,11-20,Edinburgh University,Edinburgh,UK,UK,https://www.nobelprize.org/prizes/physics/1917/Barkla,https://www.nobelprize.org/images/barkla-12907-portrait-mini-2x.jpg
23,Max,Planck,1858-04-23,1858,Apr,23,4/10/1947,1947,Oct,4,89,,Deceased,60,51-60,Schleswig (now Germany),DE,Germany,Germany,Kiel,West Germany (now Germany),DE,Göttingen,male,1918,physics,1,,,1,1/1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1901,11-20,Berlin University,Berlin,Germany,Germany,https://www.nobelprize.org/prizes/physics/1918/Planck,https://www.nobelprize.org/images/planck-12909-portrait-mini-2x.jpg
24,Johannes,Stark,1874-04-15,1874,Apr,15,21/6/1957,1957,Jun,21,83,,Deceased,45,41-50,Germany,DE,Germany,Germany,Schickenhof,West Germany (now Germany),DE,Traunstein,male,1919,physics,1,,,1,1/1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1914,<=10,Greifswald University,Greifswald,Germany,Germany,https://www.nobelprize.org/prizes/physics/1919/Stark,https://www.nobelprize.org/images/stark-12913-portrait-mini-2x.jpg
25,Charles Edouard,Guillaume,1861-02-15,1861,Feb,15,13/6/1938,1938,Jun,13,77,,Deceased,59,51-60,Switzerland,CH,Switzerland,Other (<20 Laureates),Fleurier,France,FR,Sèvres,male,1920,physics,1,,,1,1/1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",1919,<=10,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,France,https://www.nobelprize.org/prizes/physics/1920/Guillaume,https://www.nobelprize.org/images/guillaume-12918-portrait-mini-2x.jpg
26,Albert,Einstein,1879-03-14,1879,Mar,14,18/4/1955,1955,Apr,18,76,,Deceased,42,41-50,Germany,DE,Germany,Germany,Ulm,USA,US,Princeton NJ,male,1921,physics,1,,,1,1/1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",1905,11-20,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Germany,https://www.nobelprize.org/prizes/physics/1921/Einstein,https://www.nobelprize.org/images/einstein-12923-portrait-mini-2x.jpg
27,Niels,Bohr,1885-10-07,1885,Oct,7,18/11/1962,1962,Nov,18,77,,Deceased,37,<=40,Denmark,DK,Denmark,Other (<20 Laureates),Copenhagen,Denmark,DK,Copenhagen,male,1922,physics,1,,,1,1/1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",1913,<=10,Copenhagen University,Copenhagen,Denmark,Denmark,https://www.nobelprize.org/prizes/physics/1922/Bohr,https://www.nobelprize.org/images/bohr-12929-portrait-mini-2x.jpg
28,Robert A.,Millikan,1868-03-22,1868,Mar,22,19/12/1953,1953,Dec,19,85,,Deceased,55,51-60,USA,US,USA,USA,Morrison IL,USA,US,San Marino CA,male,1923,physics,1,,,1,1/1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",1910,11-20,California Institute of Technology (Caltech),Pasadena CA,USA,USA,https://www.nobelprize.org/prizes/physics/1923/Millikan,https://www.nobelprize.org/images/millikan-12934-portrait-mini-2x.jpg
29,Manne,Siegbahn,1886-12-03,1886,Dec,3,26/9/1978,1978,Sep,26,92,,Deceased,38,<=40,Sweden,SE,Sweden,Sweden,Örebro,Sweden,SE,Stockholm,male,1924,physics,1,,,1,1/1,"""for his discoveries and research in the field of X-ray spectroscopy""",1916,<=10,Uppsala University,Uppsala,Sweden,Sweden,https://www.nobelprize.org/prizes/physics/1924/Siegbahn,https://www.nobelprize.org/images/siegbahn-12937-portrait-mini-2x.jpg
30,James,Franck,1882-08-26,1882,Aug,26,21/5/1964,1964,May,21,82,,Deceased,43,41-50,Germany,DE,Germany,Germany,Hamburg,West Germany (now Germany),DE,Göttingen,male,1925,physics,1,,,2,1/2,"""for their discovery of the laws governing the impact of an electron upon an atom""",1916,<=10,Goettingen University,Göttingen,Germany,Germany,https://www.nobelprize.org/prizes/physics/1925/Franck,https://www.nobelprize.org/images/franck-12942-portrait-mini-2x.jpg
31,Gustav,Hertz,1887-07-22,1887,Jul,22,30/10/1975,1975,Oct,30,88,,Deceased,38,<=40,Germany,DE,Germany,Germany,Hamburg,East Germany (now Germany),DE,Berlin,male,1925,physics,1,,,2,1/2,"""for their discovery of the laws governing the impact of an electron upon an atom""",1916,<=10,Halle University,Halle,Germany,Germany,https://www.nobelprize.org/prizes/physics/1925/Hertz,https://www.nobelprize.org/images/hertz-12943-portrait-mini-2x.jpg
32,Jean Baptiste,Perrin,1870-09-30,1870,Sep,30,17/4/1942,1942,Apr,17,72,,Deceased,56,51-60,France,FR,France,France,Lille,USA,US,New York NY,male,1926,physics,1,,,1,1/1,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",1908,11-20,Sorbonne University,Paris,France,France,https://www.nobelprize.org/prizes/physics/1926/Perrin,https://www.nobelprize.org/images/perrin-12949-portrait-mini-2x.jpg
33,Arthur H.,Compton,1892-09-10,1892,Sep,10,15/3/1962,1962,Mar,15,70,,Deceased,35,<=40,USA,US,USA,USA,Wooster OH,USA,US,Berkeley CA,male,1927,physics,1,,,2,1/2,"""for his discovery of the effect named after him""",1923,<=10,University of Chicago,Chicago IL,USA,USA,https://www.nobelprize.org/prizes/physics/1927/Compton,https://www.nobelprize.org/images/compton-12955-portrait-mini-2x.jpg
34,C.T.R.,Wilson,1869-02-14,1869,Feb,14,15/11/1959,1959,Nov,15,90,,Deceased,58,51-60,Scotland,GB,UK,UK,Glencorse,Scotland,GB,Carlops,male,1927,physics,1,,,2,1/2,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",1911,11-20,University of Cambridge,Cambridge,UK,UK,https://www.nobelprize.org/prizes/physics/1927/Wilson,https://www.nobelprize.org/images/wilson-12956-portrait-mini-2x.jpg
35,Owen Willans,Richardson,1879-04-26,1879,Apr,26,15/2/1959,1959,Feb,15,80,,Deceased,49,41-50,UK,GB,UK,UK,Dewsbury,UK,GB,Alton,male,1928,physics,1,,,1,1/1,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",1901,21-30,London University,London,UK,UK,https://www.nobelprize.org/prizes/physics/1928/Richardson,https://www.nobelprize.org/images/richardson-12960-portrait-mini-2x.jpg
36,Louis,de Broglie,1892-08-15,1892,Aug,15,19/3/1987,1987,Mar,19,95,,Deceased,37,<=40,France,FR,France,France,Dieppe,France,FR,Paris,male,1929,physics,1,,,1,1/1,"""for his discovery of the wave nature of electrons""",1924,<=10,Sorbonne University Institut Henri Poincaré,Paris,France,France,https://www.nobelprize.org/prizes/physics/1929/Broglie,https://www.nobelprize.org/images/broglie-12967-portrait-mini-2x.jpg
37,Sir Chandrasekhara Venkata,Raman,1888-11-07,1888,Nov,7,21/11/1970,1970,Nov,21,82,,Deceased,42,41-50,India,IN,India,Other (<20 Laureates),Tiruchirappalli,India,IN,Bangalore,male,1930,physics,1,,,1,1/1,"""for his work on the scattering of light and for the discovery of the effect named after him""",1928,<=10,Calcutta University,Calcutta,India,India,https://www.nobelprize.org/prizes/physics/1930/Raman,https://www.nobelprize.org/images/raman-12972-portrait-mini-2x.jpg
38,Werner,Heisenberg,5/12/1901,1901,Dec,5,1/2/1976,1976,Feb,1,75,,Deceased,31,<=40,Germany,DE,Germany,Germany,Würzburg,West Germany (now Germany),DE,Munich,male,1932,physics,1,,,1,1/1,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",1928,<=10,Leipzig University,Leipzig,Germany,Germany,https://www.nobelprize.org/prizes/physics/1932/Heisenberg,https://www.nobelprize.org/images/heisenberg-12983-portrait-mini-2x.jpg
39,Erwin,Schrödinger,1887-08-12,1887,Aug,12,4/1/1961,1961,Jan,4,74,,Deceased,46,41-50,Austria,AT,Austria,Other (<20 Laureates),Vienna,Austria,AT,Vienna,male,1933,physics,1,,,2,1/2,"""for the discovery of new productive forms of atomic theory""",1926,<=10,Berlin University,Berlin,Germany,Germany,https://www.nobelprize.org/prizes/physics/1933/Schrodinger,https://www.nobelprize.org/images/schrodinger-12988-portrait-mini-2x.jpg
40,Paul A.M.,Dirac,8/8/1902,1902,Aug,8,20/10/1984,1984,Oct,20,82,,Deceased,31,<=40,UK,GB,UK,UK,Bristol,USA,US,Tallahassee FL,male,1933,physics,1,,,2,1/2,"""for the discovery of new productive forms of atomic theory""",1926,<=10,University of Cambridge,Cambridge,UK,UK,https://www.nobelprize.org/prizes/physics/1933/Dirac,https://www.nobelprize.org/images/dirac-12987-portrait-mini-2x.jpg
41,James,Chadwick,1891-10-20,1891,Oct,20,24/7/1974,1974,Jul,24,83,,Deceased,44,41-50,UK,GB,UK,UK,Manchester,UK,GB,Cambridge,male,1935,physics,1,,,1,1/1,"""for the discovery of the neutron""",1932,<=10,Liverpool University,Liverpool,UK,UK,https://www.nobelprize.org/prizes/physics/1935/Chadwick,https://www.nobelprize.org/images/chadwick-12999-portrait-mini-2x.jpg
42,Victor F.,Hess,1883-06-24,1883,Jun,24,17/12/1964,1964,Dec,17,81,,Deceased,53,51-60,Austria,AT,Austria,Other (<20 Laureates),Peggau,USA,US,Mount Verno NY,male,1936,physics,1,,,2,1/2,"""for his discovery of cosmic radiation""",1912,21-30,Innsbruck University,Innsbruck,Austria,Austria,https://www.nobelprize.org/prizes/physics/1936/Hess,https://www.nobelprize.org/images/hess-13006-portrait-mini-2x.jpg
43,Carl D.,Anderson,3/9/1905,1905,Sep,3,11/1/1991,1991,Jan,11,86,,Deceased,31,<=40,USA,US,USA,USA,New York NY,USA,US,San Marino CA,male,1936,physics,1,,,2,1/2,"""for his discovery of the positron""",1933,<=10,California Institute of Technology (Caltech),Pasadena CA,USA,USA,https://www.nobelprize.org/prizes/physics/1936/Anderson,https://www.nobelprize.org/images/anderson-13005-portrait-mini-2x.jpg
44,Clinton,Davisson,1881-10-22,1881,Oct,22,1/2/1958,1958,Feb,1,77,,Deceased,56,51-60,USA,US,USA,USA,Bloomington IL,USA,US,Charlottesville VA,male,1937,physics,1,,,2,1/2,"""for their experimental discovery of the diffraction of electrons by crystals""",1927,<=10,Bell Telephone Laboratories,New York NY,USA,USA,https://www.nobelprize.org/prizes/physics/1937/Davisson,https://www.nobelprize.org/images/davisson-13012-portrait-mini-2x.jpg
45,George Paget,Thomson,1892-05-03,1892,May,3,10/9/1975,1975,Sep,10,83,,Deceased,45,41-50,UK,GB,UK,UK,Cambridge,UK,GB,Cambridge,male,1937,physics,1,,,2,1/2,"""for their experimental discovery of the diffraction of electrons by crystals""",1927,<=10,London University,London,UK,UK,https://www.nobelprize.org/prizes/physics/1937/Thomson,https://www.nobelprize.org/images/thomson-13013-portrait-mini-2x.jpg
46,Enrico,Fermi,29/9/1901,1901,Sep,29,28/11/1954,1954,Nov,28,53,,Deceased,37,<=40,Italy,IT,Italy,Other (<20 Laureates),Rome,USA,US,Chicago IL,male,1938,physics,1,,,1,1/1,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",1934,<=10,Rome University,Rome,Italy,Italy,https://www.nobelprize.org/prizes/physics/1938/Fermi,https://www.nobelprize.org/images/fermi-13018-portrait-mini-2x.jpg
47,Ernest,Lawrence,8/8/1901,1901,Aug,8,27/8/1958,1958,Aug,27,57,,Deceased,38,<=40,USA,US,USA,USA,Canton SD,USA,US,Palo Alto CA,male,1939,physics,1,,,1,1/1,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",1931,<=10,University of California,Berkeley CA,USA,USA,https://www.nobelprize.org/prizes/physics/1939/Lawrence,https://www.nobelprize.org/images/lawrence-13023-portrait-mini-2x.jpg
48,Otto,Stern,1888-02-17,1888,Feb,17,17/8/1969,1969,Aug,17,81,,Deceased,55,51-60,Germany (now Poland),PL,Poland,Poland,Sorau (now Zory),USA,US,Berkeley CA,male,1943,physics,1,,,1,1/1,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",1922,21-30,Carnegie Institute of Technology,Pittsburgh PA,USA,USA,https://www.nobelprize.org/prizes/physics/1943/Stern,https://www.nobelprize.org/images/stern-13027-portrait-mini-2x.jpg
49,Isidor Isaac,Rabi,1898-07-29,1898,Jul,29,11/1/1988,1988,Jan,11,90,,Deceased,46,41-50,Austria-Hungary (now Poland),PL,Poland,Poland,Rymanow,USA,US,New York NY,male,1944,physics,1,,,1,1/1,"""for his resonance method for recording the magnetic properties of atomic nuclei""",1938,<=10,Columbia University,New York NY,USA,USA,https://www.nobelprize.org/prizes/physics/1944/Rabi,https://www.nobelprize.org/images/rabi-13033-portrait-mini-2x.jpg
50,Wolfgang,Pauli,25/4/1900,1900,Apr,25,15/12/1958,1958,Dec,15,58,,Deceased,45,41-50,Austria,AT,Austria,Other (<20 Laureates),Vienna,Switzerland,CH,Zurich,male,1945,physics,1,,,1,1/1,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",1925,11-20,Princeton University,Princeton NJ,USA,USA,https://www.nobelprize.org/prizes/physics/1945/Pauli,https://www.nobelprize.org/images/pauli-13040-portrait-mini-2x.jpg
51,Percy W.,Bridgman,1882-04-21,1882,Apr,21,20/8/1961,1961,Aug,20,79,,Deceased,64,61-70,USA,US,USA,USA,Cambridge MA,USA,US,Randolph NH,male,1946,physics,1,,,1,1/1,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""",1914,31-40,Harvard University,Cambridge MA,USA,USA,https://www.nobelprize.org/prizes/physics/1946/Bridgman,https://www.nobelprize.org/images/bridgman-13048-portrait-mini-2x.jpg
52,Edward V.,Appleton,1892-09-06,1892,Sep,6,21/4/1965,1965,Apr,21,73,,Deceased,55,51-60,UK,GB,UK,UK,Bradford,Scotland,GB,Edinburgh,male,1947,physics,1,,,1,1/1,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",1925,21-30,Department of Scientific and Industrial Research,London,UK,UK,https://www.nobelprize.org/prizes/physics/1947/Appleton,https://www.nobelprize.org/images/appleton-13056-portrait-mini-2x.jpg
53,Patrick M.S.,Blackett,1897-11-18,1897,Nov,18,13/7/1974,1974,Jul,13,77,,Deceased,51,51-60,UK,GB,UK,UK,London,UK,GB,London,male,1948,physics,1,,,1,1/1,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",1932,11-20,Victoria University,Manchester,UK,UK,https://www.nobelprize.org/prizes/physics/1948/Blackett,https://www.nobelprize.org/images/blackett-13060-portrait-mini-2x.jpg
54,Hideki,Yukawa,23/1/1907,1907,Jan,23,8/9/1981,1981,Sep,8,74,,Deceased,42,41-50,Japan,JP,Japan,Japan,Tokyo,Japan,JP,Kyoto,male,1949,physics,1,,,1,1/1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1937,11-20,Kyoto Imperial University,Kyoto,Japan,Japan,https://www.nobelprize.org/prizes/physics/1949/Yukawa,https://www.nobelprize.org/images/yukawa-13066-portrait-mini-2x.jpg
55,Cecil,Powell,5/12/1903,1903,Dec,5,9/8/1969,1969,Aug,9,66,,Deceased,47,41-50,UK,GB,UK,UK,Tonbridge,Italy,IT,,male,1950,physics,1,,,1,1/1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1947,<=10,Bristol University,Bristol,UK,UK,https://www.nobelprize.org/prizes/physics/1950/Powell,https://www.nobelprize.org/images/powell-13074-portrait-mini-2x.jpg
56,John,Cockcroft,1897-05-27,1897,May,27,18/9/1967,1967,Sep,18,70,,Deceased,54,51-60,UK,GB,UK,UK,Todmorden,UK,GB,Cambridge,male,1951,physics,1,,,2,1/2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1932,11-20,Atomic Energy Research Establishment,Harwell Berkshire,UK,UK,https://www.nobelprize.org/prizes/physics/1951/Cockcroft,https://www.nobelprize.org/images/cockcroft-13080-portrait-mini-2x.jpg
